datetime,open,high,low,close,volume,quote_volume,trade_count,taker_buy_volume,taker_buy_quote_volume
2025-01-02 19:40:00,2.39550000,2.39950000,2.39340000,2.39810000,575568.00000000,1379474.69760000,2414,228226.00000000,546903.06060000
2025-01-02 19:45:00,2.39810000,2.40050000,2.39070000,2.39260000,1072983.00000000,2567432.59700000,3846,746193.00000000,1785197.06130000
2025-01-02 19:50:00,2.39250000,2.39570000,2.39200000,2.39450000,372406.00000000,891448.15970000,2604,216036.00000000,517114.32150000
2025-01-02 19:55:00,2.39440000,2.39490000,2.38770000,2.38780000,449923.00000000,1075566.44220000,2632,150050.00000000,358730.13340000
2025-01-02 20:00:00,2.38790000,2.39750000,2.38790000,2.39740000,340706.00000000,814872.86150000,2631,204313.00000000,488694.17880000
2025-01-02 20:05:00,2.39730000,2.39730000,2.39040000,2.39260000,260703.00000000,623984.13900000,2472,121280.00000000,290256.89180000
2025-01-02 20:10:00,2.39260000,2.39510000,2.38890000,2.39410000,301920.00000000,722245.16750000,2188,149187.00000000,356895.25120000
2025-01-02 20:15:00,2.39410000,2.39470000,2.39000000,2.39130000,212072.00000000,507306.30320000,2250,115764.00000000,276906.19560000
2025-01-02 20:20:00,2.39140000,2.39510000,2.39000000,2.39000000,256260.00000000,613043.32040000,2015,124468.00000000,297768.70490000
2025-01-02 20:25:00,2.39000000,2.39250000,2.38660000,2.38670000,872964.00000000,2085456.57320000,2516,564659.00000000,1348761.68080000
2025-01-02 20:30:00,2.38680000,2.38710000,2.37580000,2.37930000,1664549.00000000,3964163.92730000,6755,564614.00000000,1344357.22000000
2025-01-02 20:35:00,2.37930000,2.37980000,2.36620000,2.36710000,1841990.00000000,4370812.47790000,6863,708035.00000000,1681252.75880000
2025-01-02 20:40:00,2.36710000,2.37780000,2.36680000,2.37380000,1382455.00000000,3280322.30750000,5203,740281.00000000,1756258.38210000
2025-01-02 20:45:00,2.37380000,2.38450000,2.37270000,2.38390000,1237811.00000000,2946895.89830000,4586,958615.00000000,2282849.31280000
2025-01-02 20:50:00,2.38390000,2.38500000,2.38170000,2.38260000,513538.00000000,1224074.73180000,2693,312725.00000000,745358.84810000
2025-01-02 20:55:00,2.38260000,2.38450000,2.37640000,2.38410000,914065.00000000,2176456.65070000,3549,496231.00000000,1181758.40930000
2025-01-02 21:00:00,2.38410000,2.38800000,2.38060000,2.38110000,623056.00000000,1486273.29470000,2718,218319.00000000,520749.06080000
2025-01-02 21:05:00,2.38110000,2.38110000,2.37640000,2.37980000,393597.00000000,936326.55170000,2197,182605.00000000,434390.19130000
2025-01-02 21:10:00,2.37980000,2.38000000,2.37330000,2.37650000,494281.00000000,1174582.52430000,2262,146511.00000000,348226.05500000
2025-01-02 21:15:00,2.37640000,2.38270000,2.37280000,2.37930000,379520.00000000,902616.58940000,2278,179470.00000000,426834.95260000
2025-01-02 21:20:00,2.37930000,2.38220000,2.37840000,2.37990000,529501.00000000,1260108.24960000,2108,124397.00000000,296031.37560000
2025-01-02 21:25:00,2.37980000,2.38360000,2.37980000,2.38180000,288644.00000000,687496.42650000,1577,214567.00000000,511063.53650000
2025-01-02 21:30:00,2.38180000,2.38200000,2.37450000,2.37540000,322913.00000000,767817.31460000,1962,110206.00000000,261977.41670000
2025-01-02 21:35:00,2.37530000,2.38150000,2.37440000,2.38100000,659317.00000000,1568232.75580000,2691,399208.00000000,949527.12700000
2025-01-02 21:40:00,2.38100000,2.38440000,2.37930000,2.38370000,392385.00000000,934836.32880000,1993,247788.00000000,590434.28360000
2025-01-02 21:45:00,2.38380000,2.38750000,2.38180000,2.38660000,381439.00000000,909725.84470000,2360,129570.00000000,308974.83090000
2025-01-02 21:50:00,2.38660000,2.38660000,2.38350000,2.38510000,211885.00000000,505349.82530000,1605,96803.00000000,230883.04330000
2025-01-02 21:55:00,2.38510000,2.38720000,2.38240000,2.38650000,359179.00000000,856721.38560000,1816,127426.00000000,303919.36980000
2025-01-02 22:00:00,2.38650000,2.38790000,2.38480000,2.38720000,491075.00000000,1171834.46750000,1766,339172.00000000,809316.32000000
2025-01-02 22:05:00,2.38730000,2.39670000,2.38670000,2.39550000,557046.00000000,1332712.50040000,2657,389132.00000000,931046.71820000
2025-01-02 22:10:00,2.39560000,2.39710000,2.38980000,2.39250000,897922.00000000,2148601.15860000,2602,377763.00000000,904216.95830000
2025-01-02 22:15:00,2.39250000,2.39800000,2.38880000,2.39790000,578905.00000000,1385491.94300000,2293,250072.00000000,598505.75380000
2025-01-02 22:20:00,2.39780000,2.39910000,2.38900000,2.39320000,631502.00000000,1512157.33020000,2773,320920.00000000,768246.52790000
2025-01-02 22:25:00,2.39320000,2.39670000,2.38890000,2.39450000,954465.00000000,2284335.67150000,2389,242508.00000000,580218.75120000
2025-01-02 22:30:00,2.39450000,2.40350000,2.39450000,2.40180000,747692.00000000,1795046.44510000,3000,462815.00000000,1111080.37240000
2025-01-02 22:35:00,2.40180000,2.40550000,2.40120000,2.40300000,318731.00000000,766065.15660000,1853,193523.00000000,465130.13730000
2025-01-02 22:40:00,2.40310000,2.40680000,2.40210000,2.40510000,422476.00000000,1016146.62750000,2122,323646.00000000,778461.83920000
2025-01-02 22:45:00,2.40520000,2.40520000,2.39610000,2.40070000,416060.00000000,998775.79600000,2122,89253.00000000,214267.16470000
2025-01-02 22:50:00,2.40060000,2.41130000,2.39910000,2.41060000,482602.00000000,1161992.43280000,3224,324324.00000000,780893.03050000
2025-01-02 22:55:00,2.41050000,2.41060000,2.40400000,2.40560000,953851.00000000,2295636.64360000,2489,228149.00000000,548887.03400000
2025-01-02 23:00:00,2.40560000,2.41020000,2.40530000,2.40810000,653233.00000000,1572964.14510000,2996,289521.00000000,697030.57310000
2025-01-02 23:05:00,2.40820000,2.40830000,2.39860000,2.40160000,908883.00000000,2182290.61210000,3173,251099.00000000,602948.29990000
2025-01-02 23:10:00,2.40160000,2.40330000,2.39840000,2.40030000,377723.00000000,906698.01040000,2050,135010.00000000,324129.43590000
